,Unnamed: 0,draw_rate,diff_goals,streak
2046,Troyes II,1.0,0,0
2045,Auxerre AJ II,0.5,3,0
2169,Espanyol B,1.0,0,0
2218,Real Betis II,1.0,0,0
2153,Trelissac,1.0,0,0
2156,SSEP Hombourg-Haut,0.5,3,0
158,Asteras T.,0.35065,2,0
2165,Kirklarelispor,1.0,0,0
2167,Seville II,1.0,0,0
2203,IF BP,0.66667,2,0
2190,Congo,0.5,2,0
2175,Stade Briochin,0.66667,1,0
2195,Haguenau,0.5,1,0
2183,Real Sociedad II,1.0,0,0
2185,Montlucon,1.0,0,0
2186,Doxa,0.6,5,0
2192,Dagenh'm,1.0,0,0
2146,Freiburg II,1.0,0,0
2228,FCD Annecy,0.42857,0,0
2131,Hanworth Villa,0.66667,5,0
2128,New Mills,0.5,2,0
2127,Nth Ferriby,0.66667,1,0
2230,Colomiers,0.5,1,0
2235,Palmeiras,0.5,1,0
2126,Littlehampton T,0.66667,2,0
1857,Djibouti,0.5,1,0
204,Villefranche,0.42857,1,0
2236,US Sinnamary,1.0,0,0
2238,Athl̩tico Marseille,1.0,0,0
2240,Rumilly Vallieres,0.71429,3,0
2064,KTP Kotka,1.0,0,0
2062,Mostoles,1.0,0,0
2241,Feurs,1.0,0,0
2048,Venezia,0.66667,3,0
1222,Sauchie,0.4,1,0
1800,Ravenna,0.5,1,0
1844,Alemannia Aachen,0.5,3,0
1590,Covilha,1.0,0,0
1077,Partizan Tirana,0.5,1,0
1405,Sittingbourne,0.4,1,0
1406,Ashford United,0.5,1,0
1075,Hamrun Spar,1.0,0,0
1027,Enosis,0.5,4,0
1430,AFC Hayes,0.5,2,0
1473,Jarrow,0.66667,2,0
1485,Racing Club Warwick,0.5,1,0
1486,Westbury Utd,0.5,1,0
1007,Cameroon,0.58333,6,0
1525,Ashford (Mdx),0.4,3,0
1532,Whitstable,0.4,1,0
997,Georgia,0.38095,7,0
1555,Deal Town,0.42857,4,0
1562,Congleton Town,0.42857,5,0
1569,Binfield,0.5,10,0
967,Elfsborg,0.39062,12,0
1078,Zira,0.4,11,0
1081,Rukh Brest,0.38462,23,0
1382,Bedfont Sports,0.5,6,0
1150,Krupa na Vrbasu,0.5,2,0
1218,Ermis,0.5,6,0
1259,Kennington,0.4,1,0
1263,Beckenham T,1.0,0,0
1268,Chemnitzer,0.66667,2,0
1206,Keshla,1.0,0,0
1183,Arges Pitesti,0.35714,7,0
1162,Metalac,0.39286,4,0
1334,Prescott Cabl.,0.5,5,0
1113,Gazisehir,0.375,9,0
1336,Paulton,0.42857,9,0
1132,Cittadella,0.4,1,0
1348,Wythenshawe Town,0.5,2,0
1360,Whyteleafe,0.42857,5,0
1363,Bahlinger SC,0.5,1,0
1366,Sintra,1.0,0,0
1123,Academica Clinceni,0.35294,23,0
1588,Brighton U21,0.42857,1,0
954,Morocco,0.35714,2,0
720,Saprissa,0.5,3,0
944,Ireland,0.42857,2,0
1703,KS Luftetari,1.0,0,0
878,Germany U21,0.4,12,0
1714,Lesotho,1.0,0,0
1719,Uganda,0.5,3,0
1724,Laos,0.5,1,0
1726,Paraguay,0.5,1,0
818,Zemun,0.375,1,0
1753,Romania U21,0.375,3,0
1758,Maag Tammeka,1.0,0,0
1761,Prishtina,0.5,3,0
1763,WIT Georgia,1.0,0,0
813,Poland Women,0.5,3,0
1785,Celik Zenica,1.0,0,0
1790,Uerdingen,0.5,2,0
1241,Hanwell Town,0.4,3,0
753,Sepsi Sfantu G,0.40244,2,0
1826,VfB Lubeck,1.0,0,0
1699,Ivory Coast Women,1.0,0,0
1697,Troyes,0.5,3,0
1695,Eswatini,1.0,0,0
1648,Limonest,0.44444,2,0
1624,Jaen,0.5,2,0
1626,Langreo,0.5,1,0
934,Libya,0.5,1,0
1638,Hercules,0.5,1,0
931,DR Congo,0.41667,3,0
930,Central Africa,1.0,0,0
1645,Algeciras,1.0,0,0
1653,Westfields,0.4,7,0
892,Burkina Faso,0.66667,1,0
1658,SV Rodinghausen,1.0,0,0
1659,TSV Steinbach,0.4,2,0
1663,Lyon Duchere II,1.0,0,0
1671,Beziers,0.66667,1,0
896,Tunisia,0.35294,11,0
1679,Folgore Falciano,0.5,1,0
1685,Lori,1.0,0,0
40,Bahrain,0.4,0,0
